שנה,סעיף תקציבי,כותרת סעיף,גוף נתמך,מספר גוף,סוג גוף,סכום שאושר,סכום שהועבר,כתובת (מגיידסטאר / רשם החברות),עיר,מיקוד
2014,19420231,תרבות בקהילה תמיכה,א-קפלה - אנסמבל קולי ירושלים,580244747,association,"₪49,662","₪49,662",אשר 5 ארטור פריינד ירושלים 9347007,ירושלים,
2015,19420231,תרבות בקהילה תמיכה,א-קפלה - אנסמבל קולי ירושלים,580244747,association,"₪45,657","₪45,657",אשר 5 ארטור פריינד ירושלים 9347007,ירושלים,
2016,19420231,תרבות בקהילה תמיכה,א-קפלה - אנסמבל קולי ירושלים,580244747,association,"₪44,887","₪44,887",אשר 5 ארטור פריינד ירושלים 9347007,ירושלים,
2013,19420231,תרבות בקהילה תמיכה,א-קפלה - אנסמבל קולי ירושלים,580244747,association,"₪24,590","₪24,590",אשר 5 ארטור פריינד ירושלים 9347007,ירושלים,
2012,19420231,,א-קפלה - אנסמבל קולי ירושלים,580244747,association,"₪20,000","₪20,000",אשר 5 ארטור פריינד ירושלים 9347007,ירושלים,
2009,19310367,תרבות בקהילה - תמיכה,א-קפלה - אנסמבל קולי ירושלים,580244747,association,"₪15,000","₪15,000",אשר 5 ארטור פריינד ירושלים 9347007,ירושלים,
2008,19310367,תרבות בקהילה - תמיכה,א-קפלה - אנסמבל קולי ירושלים,580244747,association,"₪15,000","₪15,000",אשר 5 ארטור פריינד ירושלים 9347007,ירושלים,
2016,19420232,מורשת עדות ישראל,"א.ב.- חדשות השומרונים -דו שבועון,",580008027,association,"₪150,000","₪150,000",בן עמרם 15 יפת בן רצון צדקה ת.ד. 1012 חולון 5884616,חולון,
2014,19420232,מורשת עדות ישראל,"א.ב.- חדשות השומרונים -דו שבועון,",580008027,association,"₪123,479","₪123,479",בן עמרם 15 יפת בן רצון צדקה ת.ד. 1012 חולון 5884616,חולון,
2011,19310369,מורשת עדות ישראל - תמיכה,"א.ב.- חדשות השומרונים -דו שבועון,",580008027,association,"₪110,000","₪110,000",בן עמרם 15 יפת בן רצון צדקה ת.ד. 1012 חולון 5884616,חולון,
2010,19310369,מורשת עדות ישראל - תמיכה,"א.ב.- חדשות השומרונים -דו שבועון,",580008027,association,"₪110,000","₪110,000",בן עמרם 15 יפת בן רצון צדקה ת.ד. 1012 חולון 5884616,חולון,
2015,19420232,מורשת עדות ישראל,"א.ב.- חדשות השומרונים -דו שבועון,",580008027,association,"₪100,949","₪100,949",בן עמרם 15 יפת בן רצון צדקה ת.ד. 1012 חולון 5884616,חולון,
2012,19420232,,"א.ב.- חדשות השומרונים -דו שבועון,",580008027,association,"₪94,906","₪94,906",בן עמרם 15 יפת בן רצון צדקה ת.ד. 1012 חולון 5884616,חולון,
2009,19310369,מורשת עדות ישראל - תמיכה,"א.ב.- חדשות השומרונים -דו שבועון,",580008027,association,"₪60,000","₪60,000",בן עמרם 15 יפת בן רצון צדקה ת.ד. 1012 חולון 5884616,חולון,
2008,19310369,מורשת עדות ישראל - תמיכה,"א.ב.- חדשות השומרונים -דו שבועון,",580008027,association,"₪60,000","₪60,000",בן עמרם 15 יפת בן רצון צדקה ת.ד. 1012 חולון 5884616,חולון,
2014,19420214,מוסדות תרבות מדע ומחקר,א.ל.ע.ד. - אל עיר דוד,580108660,association,"₪128,259","₪128,259",דרך חברון 183 ירושלים 9343043,ירושלים,
2015,19420214,מוסדות תרבות מדע ומחקר,א.ל.ע.ד. - אל עיר דוד,580108660,association,"₪118,527","₪118,527",דרך חברון 183 ירושלים 9343043,ירושלים,
